X,Y,OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
-13157207.6373,3997696.3523,1,9154001,Downtown Long Beach Station,https://www.metro.net/riding/paid_parking/blue-line/,80101,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7680289670001,-118.193207169,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,Downtown Long Beach Station - LACMTA
-13156781.9816,3997805.9627,2,9154002,1st Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80153,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.768847495,-118.189383439,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,1st Street Station - LACMTA
-13157269.6507,3998298.3184,3,9154003,Pacific Ave Station,https://www.metro.net/riding/paid_parking/blue-line/,80102,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7725241200001,-118.193764245,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,Pacific Ave Station - LACMTA
-13156784.9384,3998442.399,4,9154004,5th Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80154,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7736,-118.18941,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90802,5th Street Station - LACMTA
-13156781.5988,3999544.6109,5,9154005,Anaheim Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80105,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.7818300000001,-118.18938,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90813,Anaheim Street Station - LACMTA
-13156781.5988,4000517.0024,6,9154006,Pacific Coast Hwy Station,https://www.metro.net/riding/paid_parking/blue-line/,80106,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.78909,-118.18938,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90813,Pacific Coast Hwy Station - LACMTA
-13156831.6925,4002926.9065,7,9154007,Willow Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80107,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.80708,-118.18983,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90806,Willow Street Station - LACMTA
-13157528.5526,4004640.5372,8,9154008,Wardlow Station,https://www.metro.net/riding/paid_parking/blue-line/,80108,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.81987,-118.19609,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LONG BEACH,CA,90806,Wardlow Station - LACMTA
-13159190.5526,4008439.843,9,9154009,Del Amo Station,https://www.metro.net/riding/paid_parking/blue-line/,80109,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.84822,-118.21102,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90221,Del Amo Station - LACMTA
-13160474.9898,4012195.7243,10,9154010,Artesia Station,https://www.metro.net/riding/paid_parking/blue-line/,80110,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.876236728,-118.222558296,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90220,Artesia Station - LACMTA
-13160663.3452,4015047.672,11,9154011,Compton Station,https://www.metro.net/riding/paid_parking/blue-line/,80111,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.897504487,-118.224250321,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,COMPTON,CA,90220,Compton Station - LACMTA
-13162150.519,4019159.0966,12,9154012,Willowbrook - Rosa Parks Station - Metro Blue Line,https://www.metro.net/riding/paid_parking/blue-line/,80112,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9281551770001,-118.237609831,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90059,Willowbrook - Rosa Parks Station - Metro Blue Line - LACMTA
-13162768.361,4021046.22,13,9154013,103rd Street / Watts Towers Station,https://www.metro.net/riding/paid_parking/blue-line/,80113,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9422200000001,-118.24316,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90002,103rd Street / Watts Towers Station - LACMTA
-13162773.4032,4023385.8423,14,9154014,Firestone Station,https://www.metro.net/riding/paid_parking/blue-line/,80114,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.959654093,-118.243205295,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90002,Firestone Station - LACMTA
-13162780.6061,4025276.4945,15,9154015,Florence Station,https://www.metro.net/riding/paid_parking/blue-line/,80115,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9737400000001,-118.24327,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90001,Florence Station - LACMTA
-13162794.9994,4027298.5766,16,9154016,Slauson Station,https://www.metro.net/riding/paid_parking/blue-line/,80116,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.988802515,-118.243399297,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,FLORENCE-GRAHAM,CA,90001,Slauson Station - LACMTA
-13162783.9457,4029194.1175,17,9154017,Vernon Station,https://www.metro.net/riding/paid_parking/blue-line/,80117,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0029200000001,-118.2433,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90058,Vernon Station - LACMTA
-13162759.5667,4031481.9442,18,9154018,Washington Station,https://www.metro.net/riding/paid_parking/blue-line/,80118,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.019956,-118.243081,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90058,Washington Station - LACMTA
-13164143.1567,4032402.5225,19,9154019,San Pedro Street Station,https://www.metro.net/riding/paid_parking/blue-line/,80119,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0268100000001,-118.25551,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90011,San Pedro Street Station - LACMTA
-13165687.0467,4033257.6228,20,9154020,Grand / LATTC Station,https://www.metro.net/riding/paid_parking/blue-line/,80120,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.033176,-118.269379,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90015,Grand / LATTC Station - LACMTA
-13163103.8799,4036160.1116,21,9154021,Civic Center / Grand Park Station,https://www.metro.net/riding/paid_parking/red-line/,80213,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0547807140001,-118.246174018,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90012,Civic Center / Grand Park Station - LACMTA
-13163638.0581,4035467.547,22,9154022,Pershing Square Station,https://www.metro.net/riding/paid_parking/red-line/,80212,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0496261000001,-118.250972622,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90013,Pershing Square Station - LACMTA
