Row Labels,Average of fares
Alaska,5412090.167
Alabama,442348.9167
Arkansas,484741
Arizona,3416876.958
California,7837840.394
Colorado,8146217.7
Connecticut,1454588.548
DC,133262058.6
Delaware,3136373.75
Florida,2967229.765
Georgia,4936043.361
Hawaii,7622587.625
Iowa,857919.4211
Idaho,652706
Illinois,25588702.73
Indiana,1421341.71
Kansas,588231.5714
Kentucky,1581678.429
Louisiana,2009032.615
Massachusetts,17308992.14
Maryland,8001774.05
Maine,2679917.167
Michigan,1874620.256
Minnesota,5718081.167
Missouri,4002532.154
Mississippi,324464.4
Montana,222898.5
North Carolina,1480866.694
North Dakota,301837.25
Nebraska,1428702.4
New Hampshire,296239
New Jersey,50262888.55
New Mexico,625964.5
Nevada,8717305.455
New York,96525369.43
Ohio,2677602.174
Oklahoma,606992.4444
Oregon,5180495.92
Pennsylvania,9427997.156
Rhode Island,3845072.6
South Carolina,687950.6923
South Dakota,335928
Tennessee,1260353.286
Texas,3057580.041
Utah,6062935.375
Virginia,3480764.395
Vermont,802593
Washingon,6897928.754
Wisconsin,1857859.469
West Virginia,1476567
