,state,polarity,subjectivity
0,Alabama,0.185,0.605
1,Alaska,0.16249999999999998,0.3473484848484849
2,Arizona,0.125,0.3
3,Arkansas,0.27142857142857146,0.3571428571428572
4,California,0.12657166907166909,0.38425084175084173
5,Colorado,0.13527056277056276,0.4036796536796536
6,Florida,0.0857438016528926,0.35399449035812675
7,Georgia,0.18,0.4666666666666666
8,Illinois,0.11420454545454546,0.2134199134199135
9,Indiana,0.125,0.19999999999999998
10,Iowa,0.0,0.19999999999999998
11,Kansas,0.22710084033613445,0.4584733893557422
12,Kentucky,0.16666666666666666,0.2888888888888889
13,Maryland,0.12078571428571432,0.2737380952380951
14,Massachusetts,-0.0650419539308428,0.3411228689006467
15,Michigan,0.1276118326118326,0.3625156325156325
16,Minnesota,0.2,0.3833333333333333
17,Montana,0.0,0.06666666666666667
18,Nebraska,0.0,0.06666666666666667
19,Nevada,0.2619047619047619,0.3674603174603175
20,New Jersey,0.01668212739641311,0.28803339517625226
21,New York,-0.02432726864330638,0.3614605624982984
22,North Carolina,0.1,0.3333333333333333
23,North Dakota,0.0,0.06666666666666667
24,Ohio,0.0856301652892562,0.31762529137529133
25,Oklahoma,-0.007870370370370368,0.4009259259259259
26,Oregon,0.030624999999999993,0.38666666666666666
27,Pennsylvania,0.2,0.23333333333333334
28,Rhode Island,0.46875,0.5291666666666667
29,South Carolina,0.05,0.03333333333333333
30,South Dakota,0.15446428571428572,0.4724206349206349
31,Texas,0.07574742965367963,0.30503021284271276
32,Utah,-0.018181818181818184,0.2463203463203463
33,Virginia,0.0960858585858586,0.292739898989899
34,Washington,0.12937438905180837,0.35307917888563056
35,Wisconsin,0.04,0.18499999999999997
36,Wyoming,0.0,0.06666666666666667
