,state,tweets
0,Alabama,"['ap', 'news', 'latest', 'nzealand', 'mulls', 'masks', 'auckland', 'public', 'transit', 'alabama', 'alaska', 'asia', 'auckland', 'boston', 'business', 'cabinets', 'ap', 'news', 'latest', 'nzealand', 'mulls', 'masks', 'mandatory', 'public', 'transit', 'alabama', 'alaska', 'asia', 'auckland', 'boston', 'business', 'cabinets', 'want', 'one', 'get', 'one', 'logic', 'doesnt', 'fly', 'alabama', 'perfect', 'example', 'strange', 'dmv', 'hours', 'locations', 'extremely', 'far', 'public', 'transit', 'lack', 'areas', 'fees', 'amount', 'time', 'needed', 'insane']"
1,Alaska,"['tribal', 'transit', 'program', 'makes', 'funds', 'available', 'federally', 'recognized', 'indian', 'tribes', 'alaska', 'native', 'villages', 'groups', 'communities', 'support', 'public', 'transportation', 'services', 'around', 'tribal', 'lands', 'ap', 'news', 'latest', 'nzealand', 'mulls', 'masks', 'auckland', 'public', 'transit', 'alabama', 'alaska', 'asia', 'auckland', 'boston', 'business', 'cabinets', 'ap', 'news', 'latest', 'nzealand', 'mulls', 'masks', 'mandatory', 'public', 'transit', 'alabama', 'alaska', 'asia', 'auckland', 'boston', 'business', 'cabinets', 'would', 'disaster', 'alaska', 'mean', 'goes', 'without', 'saying', 'things', 'like', 'functioning', 'public', 'transit', 'system', 'alaska', 'marine', 'highway', 'usps', 'literal', 'life', 'death', 'alaskans', 'good', 'day', 'everyone', 'came', 'across', 'article', 'vancouver', 'sun', 'afternoon', 'local', 'public', 'transit', 'company', 'embarked', 'pilot', 'project', 'entails', 'installing', 'virus', 'killing', 'copper', 'surfaces', 'two', 'trolley', 'buses', 'two', 'skytrains']"
2,Arizona,"['arizona', 'voted', 'increase', 'taxes', 'wealthy', 'fund', 'public', 'schools', 'massachusetts', 'faces', 'cuts', 'public', 'transit', 'mapoli', 'pardon', 'progress', 'public', 'transit', 'phoenix', 'update', 'virtual', 'report']"
3,Arkansas,"['saw', 'story', 'ppl', 'move', 'arkansas', 'dont', 'like', 'cali', 'tell', 'move', 'else', 'avoid', 'nwa', 'area', 'theres', 'many', 'ppl', 'huge', 'public', 'transit', 'lol', 'arkansas', 'could', 'really', 'use', 'tax', 'dollars', 'tax', 'revenue', 'brought', 'legalized', 'recreational', 'marijuana', 'sales', 'imagine', 'tax', 'dollars', 'could', 'go', 'public', 'schools', 'transit', 'programs', 'public', 'parks', 'etc', 'theres', 'reason', 'legalize', 'marijuana']"
4,California,"['bold', 'shift', 'roadfocus', 'head', 'public', 'transit', 'agency', 'oversee', 'panel', 'experts', 'tasked', 'advising', 'direction', 'federal', 'transportation', 'policy', 'agencies', 'including', 'reason', 'hope', 'everyone', 'hole', '’', 'scared', 'death', 'cus', 'roommate', 'california', 'came', 'back', 'leaves', 'house', 'takes', 'public', 'transit', 'every', 'single', 'day', 'idea', 'safe', '’', 'mayor', 'garcetti', 'eyed', 'secretary', 'transportation', 'means', 'getting', 'politician', 'regardless', 'party', 'california', 'handle', 'transportation', 'big', 'book', 'need', 'evidence', 'look', 'cas', 'lack', 'efficient', 'public', 'transit', 'mean', 'state', 'california', 'incredibly', 'cheap', 'relatively', 'speaking', 'public', 'colleges', 'universities', '’', 'engineer', 'mass', 'transit', 'would', 'like', 'development', 'work', 'field', 'requires', 'bachelors', 'bart', 'caltrain', 'bayarea', 'california', 'governors', 'cuomo', 'pritzker', 'whitmer', 'inslee', 'katebrown', 'newsom', 'sisolak', 'polis', 'herbert', 'ducey', 'adequate', 'resources', 'basic', 'needs', 'regional', 'population', 'stop', 'sending', 'tax', 'revenue', 'central', 'government', 'dr', 'susie', 'pike', 'recently', 'discussed', 'stakeholders', 'california', 'view', 'potential', 'impacts', 'ridehailing', 'services', 'transportation', 'systems', 'webinar', '“', 'ridehailing', 'amp', 'public', 'transit', 'partnerships', '”', 'watch', 'recording', 'httpstcobfxmbwhowf', 'much', 'talk', 'us', 'california', 'hear', 'great', 'public', 'transit', 'east', 'hope', 'see', 'innovative', 'public', 'transit', 'initiatives', 'significant', 'funding', 'investment', 'federal', 'level', 'two', 'completely', 'different', 'lifestyles', 'drivers', 'ny', 'overwhelmingly', 'nyc', 'metro', 'area', 'lucrative', 'full', 'time', 'job', 'whereas', 'california', 'poor', 'public', 'transit', 'car', 'centric', 'lifestyle', '’', 'side', 'hustle', 'positive', 'sign', 'public', 'transit', 'support', 'la', 'metro', 'ceo', 'phil', 'washington', 'run', 'bidens', 'transition', 'team', 'transportation', '“', 'anticipate', 'agencies', 'marching', 'toward', 'edge', 'fiscal', 'cliff', '”', 'said', 'michael', 'pimentel', 'deputy', 'executive', 'director', 'california', 'transit', 'association', 'excited', 'share', 'first', 'article', 'public', 'transit', 'difficult', 'right', 'hopefully', 'hikes', 'inspire', 'future', 'hikingadventures', 'newyork', 'colorado', 'california', 'httpstcoisipaipfix', 'looot', 'reasons', 'underfund', 'public', 'transit', 'across', 'board', 'spend', 'much', 'warmilitary', 'us', 'huge', 'works', 'well', 'somewhere', 'like', 'japan', 'size', 'california', 'harder', 'scaled', 'arguably', 'wienerschnitzel', 'hot', 'dog', 'stand', 'soquel', 'ave', 'santacruz', 'california', 'great', 'public', 'transit', 'access', 'httpstcohndivjhywt']"
5,Colorado,"['hoped', 'increase', 'capacity', 'oneway', 'bus', 'trip', 'less', 'minutes', 'winter', 'colorado', 'department', 'public', 'health', 'environment', 'guidance', 'allows', 'maximum', 'capacity', 'via', 'transit', 'pretty', 'great', 'public', 'transit', 'kansas', 'city', 'even', 'free', 'light', 'rail', 'line', 'nyc', 'public', 'transit', 'mess', 'big', 'part', 'came', 'home', 'colorado', 'excited', 'share', 'first', 'article', 'public', 'transit', 'difficult', 'right', 'hopefully', 'hikes', 'inspire', 'future', 'hikingadventures', 'newyork', 'colorado', 'california', 'httpstcoisipaipfix', 'november', 'policies', 'supporting', 'public', 'transportation', 'passed', 'across', 'country', 'austin', 'texas', 'passed', 'legislation', 'build', 'new', 'light', 'rail', 'sidewalks', 'bikeways', 'virginia', 'colorado', 'approved', 'additional', 'funding', 'sources', 'via']"
6,Florida,"['cities', 'lots', 'roads', 'houses', 'prob', 'better', 'ones', 'rely', 'public', 'transit', 'apartments', 'office', 'buildings', 'la', 'houston', 'gt', 'ny', 'sf', 'people', 'like', 'cars', 'houses', 'climate', 'change', 'denial', 'south', 'florida', 'real', 'amount', 'littering', 'lack', 'recycling', 'lack', 'public', 'transit', 'etc', 'shocking', 'people', 'uneducated', 'zero', 'percent', 'interest', 'changing', 'way', 'life', 'new', 'palm', 'tran', 'technology', 'allows', 'touchfree', 'wheelchair', 'securement', 'buses', 'providing', 'florida', 'passengers', 'safer', 'sanitary', 'public', 'transit', 'experience', 'accessibility', 'starts', 'changing', 'zoning', 'laws', 'would', 'venture', 'also', 'placing', 'limits', 'urban', 'sprawl', 'funding', 'public', 'transit', 'bike', 'paths', 'florida', 'would', 'like', 'see', 'support', 'electric', 'powered', 'bikes', 'boards', 'asap', 'else', 'needed', 'kickstart', 'city', 'florida', 'public', 'transit', 'joke', 'best', 'case', 'walk', 'miles', 'bus', 'stop', 'minutes', 'whole', 'foods', 'like', 'transfers', 'minutes', 'trader', 'joes', 'car', 'trader', 'joes', 'like', 'minutes', 'away', 'good', 'day', 'normal', 'traffic', 'whole', 'foods', 'like', 'httpstcolpxcfhvdfs', 'florida', 'increased', 'minimum', 'wage', 'public', 'transit', 'projects', 'form', 'legal', 'weed', 'passed', 'states', 'left', 'broadly', '’', 'bad', 'mostly', 'reflects', 'fact', 'party', 'bad', 'winning', 'seats']"
7,Georgia,"['proud', 'sponsor', 'part', 'virtual', 'conference', 'november', 'georgia', 'transit', 'association', 'nonprofit', 'organization', 'dedicated', 'improving', 'public', 'transportation', 'state', 'georgia', 'publictransport', 'mobility', 'ondemand', 'georgia', '🏗️expand', 'georgias', 'coastal', 'ports', '🚌improve', 'expand', 'public', 'transportation', '🚴🏾\u200d♀️invest', 'multimodal', 'transit', 'bike', 'lanes', '🌉rebuild', 'vital', 'infrastructure', 'protect', 'critical', 'transportation', 'hubs', 'create', 'jobs']"
8,Illinois,"['across', 'state', 'public', 'transportation', 'receiving', 'major', 'upgrades', 'rebuild', 'illinois', 'program', 'dishing', 'million', 'om', 'grants', 'champaignurbana', 'mass', 'transit', 'district', 'get', 'roughly', 'million', 'wcia', 'city', 'chicago', 'illinois', '’', 'health', 'department', 'issued', 'new', 'guidance', 'urging', 'residents', 'stay', 'home', 'leave', '“', 'essential', 'activities', '”', 'using', 'public', 'transit', 'heres', 'safely', 'httpstcokkqzhcewcm', 'part', 'rebuild', 'illinois', 'capital', 'program', 'illinois', 'appropriated', 'funds', 'purpose', 'providing', 'capital', 'grants', 'downstate', 'public', 'transit', 'agencies', 'httpstcosatmsfrnzs', 'part', 'rebuild', 'illinois', 'capital', 'program', 'illinois', 'appropriated', 'funds', 'purpose', 'providing', 'capital', 'grants', 'downstate', 'public', 'transit', 'agencies', 'part', 'rebuild', 'illinois', 'capital', 'program', 'illinois', 'appropriated', 'funds', 'purpose', 'providing', 'capital', 'grants', 'downstate', 'public', 'transit', 'agencies', 'part', 'rebuild', 'illinois', 'capital', 'program', 'illinois', 'appropriated', 'funds', 'purpose', 'providing', 'capital', 'grants', 'downstate', 'public', 'transit', 'agencies', 'part', 'rebuild', 'illinois', 'capital', 'program', 'illinois', 'appropriated', 'funds', 'purpose', 'providing', 'capital', 'grants', 'downstate', 'public', 'transit', 'agencies', 'httpstcomjzkcsnioh', 'ut', 'mayor', 'salt', 'lake', 'city', 'city', 'one', 'best', 'precovid', 'increases', 'public', 'transit', 'usage', 'secretary', 'energy', 'susan', 'solomon', 'illinois', 'foremost', 'climate', 'scientists', 'geologists', 'chemist']"
9,Indiana,"['northwest', 'indiana', 'regional', 'development', 'authority', 'host', 'first', 'public', 'engagement', 'session', 'concerning', 'transit', 'development', 'districts', 'around', 'commuter', 'rail', 'stations', 'nov']"
